Table,NAME,FMTName,Type,Value,Label,FLAT,METRO
AHS2017,ACPRIMARY,ACPRIMARY,C,01,Electric powered central air conditioning system,YES,YES
AHS2017,ACPRIMARY,ACPRIMARY,C,02,Piped gas powered central air conditioning system,YES,YES
AHS2017,ACPRIMARY,ACPRIMARY,C,03,LP gas powered central air conditioning system,YES,YES
AHS2017,ACPRIMARY,ACPRIMARY,C,04,Other fuel source powered air conditioning system,YES,YES
AHS2017,ACPRIMARY,ACPRIMARY,C,05,1 room air conditioner,YES,YES
AHS2017,ACPRIMARY,ACPRIMARY,C,06,2 room air conditioners,YES,YES
AHS2017,ACPRIMARY,ACPRIMARY,C,07,3 room air conditioners,YES,YES
AHS2017,ACPRIMARY,ACPRIMARY,C,08,4 room air conditioners,YES,YES
AHS2017,ACPRIMARY,ACPRIMARY,C,09,5 room air conditioners,YES,YES
AHS2017,ACPRIMARY,ACPRIMARY,C,10,6 room air conditioners,YES,YES
AHS2017,ACPRIMARY,ACPRIMARY,C,11,7 or more room air conditioners,YES,YES
AHS2017,ACPRIMARY,ACPRIMARY,C,12,No air conditioning,YES,YES
AHS2017,ACSECNDRY,ACSECNDRY,C,01,Secondary electric powered central air conditioning system,YES,YES
AHS2017,ACSECNDRY,ACSECNDRY,C,02,Secondary piped gas powered central air conditioning system,YES,YES
AHS2017,ACSECNDRY,ACSECNDRY,C,03,Secondary LP gas powered central air conditioning system,YES,YES
AHS2017,ACSECNDRY,ACSECNDRY,C,04,Secondary other fuel source powered air conditioning system,YES,YES
AHS2017,ACSECNDRY,ACSECNDRY,C,05,Secondary 1 room air conditioner,YES,YES
AHS2017,ACSECNDRY,ACSECNDRY,C,06,Secondary 2 room air conditioners,YES,YES
AHS2017,ACSECNDRY,ACSECNDRY,C,07,Secondary 3 room air conditioners,YES,YES
AHS2017,ACSECNDRY,ACSECNDRY,C,08,Secondary 4 room air conditioners,YES,YES
AHS2017,ACSECNDRY,ACSECNDRY,C,09,Secondary 5 room air conditioners,YES,YES
AHS2017,ACSECNDRY,ACSECNDRY,C,10,Secondary 6 room air conditioners,YES,YES
AHS2017,ACSECNDRY,ACSECNDRY,C,11,Secondary 7 or more room air conditioners,YES,YES
AHS2017,ACSECNDRY,ACSECNDRY,C,12,No secondary air conditioning,YES,YES
AHS2017,ADEQUACY,ADEQUACY,C,1,Adequate,YES,YES
AHS2017,ADEQUACY,ADEQUACY,C,2,Moderately Inadequate,YES,YES
AHS2017,ADEQUACY,ADEQUACY,C,3,Severely Inadequate,YES,YES
AHS2017,BATHEXCLU,BATHEXCLU,C,1,Bathroom is outside unit but inside building,YES,YES
AHS2017,BATHEXCLU,BATHEXCLU,C,2,Bathroom is outside building,YES,YES
AHS2017,BATHEXCLU,BATHEXCLU,C,M,Not reported,YES,YES
AHS2017,BATHEXCLU,BATHEXCLU,C,N,Not applicable,YES,YES
AHS2017,BATHROOMS,BATHROOMS,C,01,One full bathroom,YES,YES
AHS2017,BATHROOMS,BATHROOMS,C,02,1.5 bathrooms,YES,YES
AHS2017,BATHROOMS,BATHROOMS,C,03,2 bathrooms,YES,YES
AHS2017,BATHROOMS,BATHROOMS,C,04,2.5 bathrooms,YES,YES
AHS2017,BATHROOMS,BATHROOMS,C,05,3 bathrooms,YES,YES
AHS2017,BATHROOMS,BATHROOMS,C,06,More than 3 bathrooms,YES,YES
AHS2017,BATHROOMS,BATHROOMS,C,07,No full bath: Sink and tub present,YES,YES
AHS2017,BATHROOMS,BATHROOMS,C,08,No full bath: Sink and toilet present,YES,YES
AHS2017,BATHROOMS,BATHROOMS,C,09,No full bath: Tub and toilet present,YES,YES
AHS2017,BATHROOMS,BATHROOMS,C,10,No full bath: Sink only,YES,YES
AHS2017,BATHROOMS,BATHROOMS,C,11,No full bath: Tub only,YES,YES
AHS2017,BATHROOMS,BATHROOMS,C,12,No full bath: Toilet only,YES,YES
AHS2017,BATHROOMS,BATHROOMS,C,13,"No full bath: No sink, tub or toilet",YES,YES
AHS2017,BIKE,BIKE,C,1,Yes,YES,YES
AHS2017,BIKE,BIKE,C,2,No,YES,YES
AHS2017,BIKE,BIKE,C,M,Not reported,YES,YES
AHS2017,BIKE,BIKE,C,N,Not applicable,YES,YES
AHS2017,BLD,BLD,C,01,Mobile home or trailer,YES,YES
AHS2017,BLD,BLD,C,02,"One-family house, detached",YES,YES
AHS2017,BLD,BLD,C,03,"One-family house, attached",YES,YES
AHS2017,BLD,BLD,C,04,2 Apartments,YES,YES
AHS2017,BLD,BLD,C,05,3-4 Apartments,YES,YES
AHS2017,BLD,BLD,C,06,5-9 Apartments,YES,YES
AHS2017,BLD,BLD,C,07,10-19 Apartments,YES,YES
AHS2017,BLD,BLD,C,08,20-49 Apartments,YES,YES
AHS2017,BLD,BLD,C,09,50 or more apartments,YES,YES
AHS2017,BLD,BLD,C,10,"Boat, RV, van, etc.",YES,YES
AHS2017,BUS,BUS,C,1,Uses public bus,YES,YES
AHS2017,BUS,BUS,C,2,Does not use public bus,YES,YES
AHS2017,BUS,BUS,C,M,Not reported,YES,YES
AHS2017,BUS,BUS,C,N,Not applicable,YES,YES
AHS2017,CARPOOL,CARPOOL,N,0,Does not carpool,YES,YES
AHS2017,CARPOOL,CARPOOL,N,5,5 or more people,YES,YES
AHS2017,CARPOOL,CARPOOL,N,.M,Not reported,YES,YES
AHS2017,CARPOOL,CARPOOL,N,.N,Not applicable,YES,YES
AHS2017,CELLPHONE,CELLPHONE,N,.M,Not reported,YES,YES
AHS2017,CELLPHONE,CELLPHONE,N,.N,Not applicable,YES,YES
AHS2017,CITSHP1,CITSHP,C,1,"Native, born in US",YES,YES
AHS2017,CITSHP1,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2017,CITSHP1,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2017,CITSHP1,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2017,CITSHP1,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2017,CITSHP1,CITSHP,C,M,Not reported,YES,YES
AHS2017,CITSHP1,CITSHP,C,N,Not applicable,YES,YES
AHS2017,CITSHP10,CITSHP,C,1,"Native, born in US",YES,YES
AHS2017,CITSHP10,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2017,CITSHP10,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2017,CITSHP10,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2017,CITSHP10,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2017,CITSHP10,CITSHP,C,M,Not reported,YES,YES
AHS2017,CITSHP10,CITSHP,C,N,Not applicable,YES,YES
AHS2017,CITSHP11,CITSHP,C,1,"Native, born in US",YES,YES
AHS2017,CITSHP11,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2017,CITSHP11,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2017,CITSHP11,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2017,CITSHP11,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2017,CITSHP11,CITSHP,C,M,Not reported,YES,YES
AHS2017,CITSHP11,CITSHP,C,N,Not applicable,YES,YES
AHS2017,CITSHP12,CITSHP,C,1,"Native, born in US",YES,YES
AHS2017,CITSHP12,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2017,CITSHP12,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2017,CITSHP12,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2017,CITSHP12,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2017,CITSHP12,CITSHP,C,M,Not reported,YES,YES
AHS2017,CITSHP12,CITSHP,C,N,Not applicable,YES,YES
AHS2017,CITSHP13,CITSHP,C,1,"Native, born in US",YES,YES
AHS2017,CITSHP13,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2017,CITSHP13,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2017,CITSHP13,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2017,CITSHP13,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2017,CITSHP13,CITSHP,C,M,Not reported,YES,YES
AHS2017,CITSHP13,CITSHP,C,N,Not applicable,YES,YES
AHS2017,CITSHP14,CITSHP,C,1,"Native, born in US",YES,YES
AHS2017,CITSHP14,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2017,CITSHP14,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2017,CITSHP14,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2017,CITSHP14,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2017,CITSHP14,CITSHP,C,M,Not reported,YES,YES
AHS2017,CITSHP14,CITSHP,C,N,Not applicable,YES,YES
AHS2017,CITSHP15,CITSHP,C,1,"Native, born in US",YES,YES
AHS2017,CITSHP15,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2017,CITSHP15,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
